Date,Time,Open,High,Low,Close
2026-04-28,14:25,127469.71,127509.75,127463.73,127496.22
2026-04-28,14:26,127493.74,127502.52,127487.89,127495.42
2026-04-28,14:26,127493.74,127505.85,127480.07,127488.26
2026-04-28,14:26,127493.74,127505.85,127480.07,127502.18
2026-04-28,14:26,127493.74,127505.85,127480.07,127503.03
2026-04-28,14:26,127493.74,127506.87,127480.07,127506.87
2026-04-28,14:26,127493.74,127506.87,127480.07,127503.93
2026-04-28,14:26,127493.74,127506.87,127480.07,127500.20
2026-04-28,14:26,127493.74,127506.87,127480.07,127497.12
2026-04-28,14:26,127493.74,127506.87,127480.07,127503.51
2026-04-28,14:26,127493.74,127506.87,127480.07,127501.22
2026-04-28,14:26,127493.74,127506.87,127480.07,127502.58
2026-04-28,14:26,127493.74,127506.87,127480.07,127502.25
2026-04-28,14:26,127493.74,127506.87,127480.07,127501.08
2026-04-28,14:26,127493.74,127512.74,127480.07,127512.74
2026-04-28,14:26,127493.74,127512.74,127480.07,127506.42
2026-04-28,14:26,127493.74,127512.74,127480.07,127511.27
2026-04-28,14:26,127493.74,127512.74,127480.07,127506.79
2026-04-28,14:26,127493.74,127513.17,127480.07,127513.17
2026-04-28,14:26,127493.74,127519.60,127480.07,127519.60
2026-04-28,14:26,127493.74,127519.60,127480.07,127517.36
2026-04-28,14:26,127493.74,127519.60,127480.07,127514.05
2026-04-28,14:26,127493.74,127519.60,127480.07,127517.85
2026-04-28,14:26,127493.74,127534.40,127480.07,127534.40
2026-04-28,14:26,127493.74,127534.40,127480.07,127528.03
2026-04-28,14:26,127493.74,127534.40,127480.07,127519.46
2026-04-28,14:26,127493.74,127534.40,127480.07,127524.70
2026-04-28,14:26,127493.74,127534.40,127480.07,127523.06
2026-04-28,14:26,127493.74,127534.40,127480.07,127516.46
2026-04-28,14:26,127493.74,127534.40,127480.07,127526.62
2026-04-28,14:26,127493.74,127534.40,127480.07,127527.99
2026-04-28,14:26,127493.74,127534.40,127480.07,127522.57
2026-04-28,14:26,127493.74,127534.40,127480.07,127527.20
2026-04-28,14:26,127493.74,127534.40,127480.07,127526.01
2026-04-28,14:27,127520.15,127520.15,127520.15,127520.15
2026-04-28,14:27,127520.15,127520.15,127516.82,127516.82
2026-04-28,14:27,127520.15,127521.20,127516.82,127521.20
